LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,target
24600,41300.0,61700.0,0.0,1.0,19.0,0.0,0.0,181.63333333,2.0,22.0,34.888238906,0
25000,188545.0,241279.0,0.0,2.0,9.0,0.0,0.0,102.5,2.0,26.0,34.888238906,0
9300,44026.0,70535.0,1.0,1.0,12.0,3.0,1.0,245.9,2.0,29.0,34.888238906,0
6500,60054.0,70434.0,1.0,2.0,1.0,0.0,0.0,127.06270157,2.0,21.0,37.800352933,1
17400,43110.0,73614.0,0.0,0.0,1.0,0.0,0.0,114.28918244,1.0,8.0,26.379108017,0
47000,164411.0,235500.0,0.0,1.0,17.0,0.0,1.0,181.93333333,3.0,48.0,34.888238906,1
9100,62976.0,77829.0,1.0,0.0,0.0,0.0,2.0,131.19349603,0.0,23.0,26.090418913,0
16200,95465.0,114758.0,0.0,2.0,7.0,0.0,0.0,298.46443532,2.0,19.0,32.622560102,0
11500,104790.0,122169.0,0.0,1.0,16.0,1.0,0.0,266.12105655,0.0,16.0,34.082178462,0
14100,81894.0,98285.0,0.0,0.0,6.0,0.0,0.0,151.4710746,1.0,26.0,42.282137884,0
5000,65030.0,46281.0,1.0,2.0,2.0,0.0,0.0,257.6522064,0.0,26.0,40.952588884,0
24300,50826.0,68199.0,0.0,2.0,7.0,0.0,0.0,71.1819889,1.0,19.0,36.496201084,0
20200,9297.0,26699.0,0.0,2.0,7.0,0.0,0.0,55.705497287,2.0,18.0,41.718958392,0
5100,73882.0,96031.0,0.0,2.0,0.0,0.0,0.0,125.78740011,1.0,10.0,34.446079222,0
10000,10000.0,68250.0,0.0,3.0,20.0,0.0,2.0,398.8,1.0,12.0,34.888238906,0
4700,53918.0,59511.0,0.0,2.0,6.0,0.0,0.0,54.13647743,1.0,15.0,34.416507811,0
19100,22094.0,61820.0,1.0,3.0,5.0,0.0,0.0,201.13547773,0.0,13.0,28.888876198,0
12700,9038.0,65969.0,1.0,2.0,7.0,1.0,1.0,346.58010279,0.0,22.0,13.347212679,0
14000,92739.0,125000.0,0.0,0.0,6.0,0.0,0.0,248.6,3.0,42.0,34.888238906,0
13800,97778.0,116814.0,0.0,2.0,15.0,1.0,3.0,120.78139621,1.0,22.0,23.20471329,1
45100,67552.0,128659.0,1.0,2.0,10.0,0.0,0.0,83.323113419,0.0,13.0,43.874079432,1
18300,26982.0,59552.0,0.0,3.0,15.0,0.0,0.0,183.61441489,1.0,19.0,36.299617975,0
18900,83474.0,104133.0,1.0,3.0,4.0,0.0,0.0,109.9887849,1.0,24.0,38.864019539,0
13900,51653.0,85578.0,0.0,2.0,13.0,0.0,0.0,90.273079432,0.0,7.0,41.693377223,1
14000,73062.0,88783.0,0.0,2.0,6.0,0.0,0.0,211.10255212,2.0,18.0,42.254580037,0
16700,54079.0,112463.0,1.0,1.0,1.0,0.0,3.0,134.92571376,1.0,23.0,37.033954387,0
8400,48032.0,95213.0,1.0,1.0,5.0,1.0,4.0,326.67959049,0.0,30.0,38.191681736,1
10800,35602.0,73077.0,0.0,5.0,7.0,0.0,1.0,179.89655998,1.0,20.0,53.584883008,1
19500,58638.0,13930.0,0.0,2.0,4.0,0.0,0.0,69.005027135,0.0,16.0,42.50002486,0
8000,82547.0,105361.0,0.0,3.0,24.0,0.0,0.0,52.59326412,2.0,13.0,32.160922592,0
11900,56792.0,64130.0,0.0,0.0,13.0,0.0,0.0,118.61259022,1.0,18.0,32.665746304,0
7400,65030.0,54138.0,1.0,2.0,1.0,0.0,0.0,173.46666667,0.0,0.0,12.219679961,0
13700,88654.0,114011.0,1.0,0.0,10.0,0.0,0.0,250.32958449,0.0,25.0,30.971730126,0
42000,9999.0,50681.0,1.0,3.0,3.0,0.0,0.0,326.06798565,5.0,15.0,12.386741311,1
19100,48730.0,115967.0,0.0,3.0,15.0,0.0,0.0,264.91508429,0.0,19.0,25.40820478,0
6000,40000.0,54600.0,1.0,3.0,4.0,0.0,4.0,101.4,0.0,19.0,34.888238906,1
16700,102687.0,137417.0,0.0,3.0,7.0,0.0,0.0,97.763511856,0.0,14.0,31.10800492,0
21500,18875.0,42500.0,0.0,2.0,27.0,0.0,0.0,304.36666667,1.0,13.0,34.888238906,0
44000,68600.0,125000.0,0.0,5.0,5.0,0.0,2.0,92.3,0.0,23.0,34.888238906,1
17000,56800.0,82000.0,0.0,3.0,22.0,0.0,5.0,320.6,4.0,28.0,34.888238906,1
25300,22361.0,50688.0,0.0,2.0,24.0,0.0,0.0,125.40746401,0.0,11.0,25.181498839,0
10000,75000.0,103600.0,1.0,0.0,17.6,0.0,0.0,171.43333333,0.0,24.0,34.888238906,1
21300,101524.0,141859.0,1.0,3.0,10.0,0.0,0.0,162.32211917,0.0,23.0,31.987636327,0
10000,46946.0,65000.0,1.0,1.0,7.2,0.0,1.0,80.1,1.0,12.0,34.888238906,1
5000,40000.0,32480.0,1.0,2.0,8.0,3.0,2.0,163.36666667,1.0,16.0,34.888238906,1
5200,67000.0,77000.0,1.0,2.0,9.0,0.0,1.0,119.7,0.0,25.0,34.888238906,0
29800,34000.0,71000.0,0.0,2.0,10.0,0.0,0.0,115.66666667,1.0,24.0,34.888238906,0
